"GCF No","BGC Class"
1666,"PKSI"
1681,"Others"
1202,"PKSI"
1264,"PKSI"
1129,"PKSI"
1331,"PKSI"
1681,"PKSI"
1709,"PKSI"
163,"PKSI"
1801,"Others"
1486,"PKSI"
1001,"PKSother"
1388,"PKSI"
979,"PKSI"
1769,"PKSI"
816,"Others"
1643,"PKSI"
1143,"PKSI"
1508,"PKSI"
72,"PKSI"
1558,"Others"
1379,"PKSI"
1701,"PKSI"
1416,"Others"
96,"PKSI"
1965,"PKSI"
1148,"PKSI"
1230,"PKSI"
1720,"PKSI"
1032,"PKSI"
1555,"PKSI"
1616,"PKSI"
90,"PKSI"
1558,"PKSI"
1799,"PKSI"
1662,"PKSI"
1252,"PKS-NRP_Hybrids"
75,"PKSI"
1497,"Others"
1167,"Others"
173,"PKSother"
85,"PKSI"
1332,"PKSI"
1497,"PKSother"
1801,"PKSI"
1321,"PKSI"
1264,"Others"
1650,"PKSI"
1756,"PKSI"
1256,"PKSI"
117,"Others"
117,"PKSI"
1432,"PKSI"
1386,"PKSI"
1873,"PKSI"
129,"PKSI"
129,"Others"
1765,"PKSI"
1730,"PKSI"
1756,"Others"
1497,"PKSI"
1001,"Others"
1713,"PKSI"
1001,"PKSI"
1558,"PKS-NRP_Hybrids"
155,"PKSI"
1260,"PKSI"
1167,"PKSI"
1643,"PKSother"
1129,"Others"
1086,"PKSother"
1766,"PKSother"
173,"Others"
970,"PKSother"
1366,"PKSother"
1096,"Others"
1096,"PKSother"
1086,"PKS-NRP_Hybrids"
209,"Others"
1695,"PKSother"
208,"PKSother"
208,"Others"
1598,"PKSother"
1665,"PKSother"
1181,"PKSother"
224,"Others"
265,"PKSother"
1091,"PKSother"
203,"PKSother"
203,"Others"
1488,"PKSother"
243,"Others"
259,"PKSother"
1543,"PKSother"
1392,"PKSother"
224,"PKSother"
1740,"PKSother"
1740,"Others"
234,"PKSother"
234,"Others"
1695,"Others"
243,"PKSother"
1543,"Others"
1060,"Others"
1488,"Others"
1740,"Saccharides"
277,"PKSother"
1260,"PKSother"
1438,"PKS-NRP_Hybrids"
1719,"NRPS"
310,"NRPS"
1738,"NRPS"
1006,"NRPS"
1484,"NRPS"
1737,"NRPS"
1729,"NRPS"
2013,"NRPS"
1169,"NRPS"
1176,"NRPS"
1353,"NRPS"
1174,"Others"
2007,"NRPS"
1438,"NRPS"
1965,"Others"
1484,"Others"
1173,"NRPS"
1734,"NRPS"
1151,"NRPS"
1085,"PKS-NRP_Hybrids"
375,"NRPS"
1354,"NRPS"
445,"NRPS"
1984,"NRPS"
1769,"PKS-NRP_Hybrids"
1137,"NRPS"
1846,"NRPS"
2001,"NRPS"
716,"Others"
985,"PKS-NRP_Hybrids"
1630,"Others"
383,"Others"
1818,"NRPS"
1725,"PKS-NRP_Hybrids"
1677,"NRPS"
1083,"NRPS"
1879,"NRPS"
1670,"NRPS"
1856,"NRPS"
1725,"NRPS"
1212,"NRPS"
2003,"PKS-NRP_Hybrids"
1953,"NRPS"
436,"PKS-NRP_Hybrids"
1776,"NRPS"
1734,"Others"
1630,"NRPS"
1996,"PKS-NRP_Hybrids"
1719,"RiPPs"
1006,"RiPPs"
1392,"Terpene"
1555,"Others"
803,"Others"
812,"Others"
1902,"Others"
1086,"Others"
1321,"Others"
913,"Others"
1513,"Others"
979,"PKS-NRP_Hybrids"
1327,"PKS-NRP_Hybrids"
1202,"PKS-NRP_Hybrids"
981,"NRPS"
1020,"PKS-NRP_Hybrids"
1314,"PKS-NRP_Hybrids"
1534,"PKS-NRP_Hybrids"
1677,"PKS-NRP_Hybrids"
1150,"PKS-NRP_Hybrids"
1202,"Others"
970,"PKSI"
969,"PKSI"
998,"PKS-NRP_Hybrids"
1709,"Others"
1713,"Others"
1331,"PKS-NRP_Hybrids"
1084,"PKS-NRP_Hybrids"
1698,"PKS-NRP_Hybrids"
1666,"PKS-NRP_Hybrids"
1001,"PKS-NRP_Hybrids"
1215,"PKS-NRP_Hybrids"
1414,"NRPS"
1709,"PKS-NRP_Hybrids"
1414,"PKS-NRP_Hybrids"
1091,"PKS-NRP_Hybrids"
1020,"PKSother"
1354,"PKS-NRP_Hybrids"
1801,"PKS-NRP_Hybrids"
1873,"Others"
1643,"PKS-NRP_Hybrids"
1167,"PKS-NRP_Hybrids"
1032,"Others"
1215,"NRPS"
