"Pseudomonas_fluorescens_ATCC13525" "Pseudomonas_fluorescens_NCTC10038" "Pseudomonas_fluorescens_Q287" "Pseudomonas_fluorescens_SBW25" "Pseudomonas_protegegns_H1F10A" "Pseudomonas_protegens_pf5" "Pseudomonas_putida_ATCC12633" "Pseudomonas_putida_JBC17" "Pseudomonas_putida_KF715" "Pseudomonas_putida_NBRC14164" "Pseudomonas_savastanoi_1448A" "Pseudomonas_savastanoi_1449B" "Pseudomonas_savastanoi_NCPPB3335" "Pseudomonas_syringae_B301D" "Pseudomonas_syringae_B728a" "Pseudomonas_syringae_DC3000" "Pseudomonas_syringae_ICMP18884" "Pseudomonas_syringae_ICMP19589" "Pseudomonas_syringae_ICMP20586" "Pseudomonas_syringae_UMAF1029"
"GCF1810" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1811" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1817" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1818" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1823" 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1826" 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1828" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1832" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1833" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1834" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1839" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1841" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1846" 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1852" 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1854" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1856" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1857" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1858" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1859" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1869" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1873" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1874" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1875" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1878" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1879" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1881" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1884" 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
"GCF1887" 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1890" 1 1 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"GCF1892" 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"GCF1896" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"GCF1897" 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"GCF1898" 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
"GCF1900" 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0
"GCF1901" 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
"GCF1902" 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1
"GCF1910" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"GCF1911" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1
"GCF1917" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
"GCF1919" 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1
"GCF1924" 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0
"GCF1927" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"GCF1946" 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0
"GCF1950" 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 1 0 1
"GCF1953" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
"GCF1964" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"GCF1965" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"GCF1969" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
"GCF1978" 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0
"GCF1982" 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0
"GCF1984" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0
