"Sample" "Lifestyle"
"Pseudomonas_fluorescens_ATCC13525" "Unknown"
"Pseudomonas_fluorescens_NCTC10038" "Unknown"
"Pseudomonas_fluorescens_Q287" "Unknown"
"Pseudomonas_fluorescens_SBW25" "Unknown"
"Pseudomonas_protegegns_H1F10A" "Unknown"
"Pseudomonas_protegens_pf5" "Unknown"
"Pseudomonas_putida_ATCC12633" "Unknown"
"Pseudomonas_putida_JBC17" "Unknown"
"Pseudomonas_putida_KF715" "Unknown"
"Pseudomonas_putida_NBRC14164" "Unknown"
"Pseudomonas_savastanoi_1448A" "Unknown"
"Pseudomonas_savastanoi_1449B" "Unknown"
"Pseudomonas_savastanoi_NCPPB3335" "Unknown"
"Pseudomonas_syringae_B301D" "Unknown"
"Pseudomonas_syringae_B728a" "Unknown"
"Pseudomonas_syringae_DC3000" "Unknown"
"Pseudomonas_syringae_ICMP18884" "Unknown"
"Pseudomonas_syringae_ICMP19589" "Unknown"
"Pseudomonas_syringae_ICMP20586" "Unknown"
"Pseudomonas_syringae_UMAF1029" "Unknown"
