"Sample" "Lifestyle"
"Pseudomonas_aeruginosa_PAO1_O.fna" "Human_pathogen"
"Pseudomonas_alcaligenes_NCTC10367_O.fna" "Human_pathogen"
"Pseudomonas_alcaligenes_NEB-585_O.fna" "Human_pathogen"
"Pseudomonas_alcaligenes_RU38D_O.fna" "Human_pathogen"
"Pseudomonas_amygdali_ATCC-11528_O.fna" "Human_pathogen"
"Pseudomonas_asiatica_MY545_O.fna" "Human_pathogen"
"Pseudomonas_asiatica_MY601_O.fna" "Human_pathogen"
"Pseudomonas_asiatica_MY660_O.fna" "Human_pathogen"
"Pseudomonas_asiatica_MY680_O.fna" "Human_pathogen"
"Pseudomonas_asiatica_MY756_O.fna" "Human_pathogen"
"Pseudomonas_asiatica_RYU5_O.fna" "Human_pathogen"
"Pseudomonas_asplenii_ATCC-23835_O.fna" "Plant_pathogen"
"Pseudomonas_asplenii_ES-FE-G7_O.fna" "Plant_pathogen"
"Pseudomonas_asplenii_ES-PA-B6_O.fna" "Plant_pathogen"
"Pseudomonas_asplenii_ES-PA-B8_O.fna" "Plant_pathogen"
"Pseudomonas_asplenii_ES-PA-E7_O.fna" "Plant_pathogen"
"Pseudomonas_asturiensis_CC1524_O.fna" "Plant_pathogen"
"Pseudomonas_avellanae_R2leaf_O.fna" "Plant_pathogen"
"Pseudomonas_cannabina_ICMP_O.fna" "Plant_pathogen"
"Pseudomonas_cedrina_LMG-23661_O.fna" "Plant_pathogen"


