GCF	BGC Name	Organism	BGC Class	product	description
GCF1	BGC0000733	Klebsiella pneumoniae	NA	unknown	Klebsiella pneumoniae capsular polysaccharides biosynthesis gene cluster, complete cds, strain: NTUH-KP35
GCF2	BGC0000346	Goodfellowiella coeruleoviolacea	NRPS.PKS	NRPS.T1PKS	Goodfellowiella coeruleoviolacea strain ATCC 53904 FAD-dependent oxidoreductase gene, complete cds; epoxomicin biosynthetic gene cluster, complete sequence; and MarR-like transcriptional regulator gene, complete cds
GCF10	BGC0001116	Streptomyces virginiae	NRPS.PKS	NRPS.PKS-like.transAT-PKS	Streptomyces virginiae virginiamycin synthetic gene cluster (visF, visE, vmsT, virN, virM, vmsS, varL, virK, virJ, virI, virH, virG, virF, virE, virD, virC, virB, virA), partial and complete cds
GCF37	BGC0002474	Agrobacterium tumefaciens	NA	unknown	Agrobacterium tumefaciens ferric iron uptake system gene cluster (agbF, agbC, agbE, agbB, agbA, agbD), complete cds
GCF39	BGC0000812	Shiraia sp. slf14	NA	unknown	Shiraia sp. slf14 huperzine A biosynthesis gene cluster, complete sequence
GCF40	BGC0001321	Solanum habrochaites	terpene	terpene	Solanum habrochaites isolate LA1778 chromosome 8 terpene biosynthesis gene locus, partial sequence
GCF46	BGC0000030	Fusarium fujikuroi IMI 58289	PKS	T1PKS	Fusarium fujikuroi IMI 58289 draft genome, chromosome FFUJ_chr05
GCF54	BGC0002315	Streptomyces sp.	PKS	T2PKS	Streptomyces sp. strain MA37 polyprenol-monophosphomannose synthase, glycosyl transferase, methyl transferase (accM), hypothetical protein, transcriptional regulator (accN), 3-hydroxyisobutyrate dehydrogenase (accO), transcriptional regulator, MerR family (accP), nucleotide phosphorylase, VOC family protein, maleyl pyruvate isomerase family myco-thiol dependent enzyme, LysR family transcriptional regulator (accI), hypothetical protein, molybdopterin-binding protein, hypothetical protein, ABC transporter ATP-binding protein (accH), ABC transporter ATP-binding protein (accI), Type II PKS cyclase (accL), sodium/hydrogen exchanger (accK), MarR family transcriptional regulator (accJ), sensor histidine kinase (accG), LuxR family DNA-binding response regulator (accF), cyclase/dehydrase (accD), acyl carrier protein (accC), beta-ketoacyl synthase (accB), beta-ketoacyl synthase (accA), AraC family transcriptional regulator (accR), antibiotic biosynthesis monooxygenase (accS), O-methyl transferase (accT), antibiotic biosynthesis monooxygenase (accU), halogenase (accV), O-methyl transferase (accW), phenylalanine-specific permease, glycoside hydrolase family 92 protein (accX), hypothetical protein, and pyruvate oxidase/decarboxylase (accY) genes, complete cds
GCF59	BGC0000892	Burkholderia gladioli BSR3	other	polyyne	Burkholderia gladioli BSR3 chromosome 1, complete sequence
GCF11	BGC0003025	Mycoavidus sp. SF9855	NRPS	NRPS	Mycoavidus sp. SF9855 chromosome, complete genome
GCF75	BGC0000595	Streptomyces coelicolor A3(2)	NA	unknown	Streptomyces coelicolor A3(2) chromosome, complete genome
GCF32	BGC0002060	Pseudomonas syringae pv. syringae B728a	PKS	transAT-PKS	Pseudomonas syringae pv. syringae B728a, complete genome
GCF6	BGC0000369	Anabaena sp. Syke748	NRPS	NRPS	Anabaena sp. Syke748 phage integrase and IS5 family IS5 ssgr transposase genes, complete cds; hassallidin biosynthesis gene cluster, complete sequence; and IS1380 family transposase, hypothetical protein, CemA family protein, and hypothetical protein genes, complete cds
GCF85	BGC0000118	Streptomyces pactum	PKS	PKS-like.T1PKS.arylpolyene	Streptomyces pactum pactamycin biosynthetic gene cluster, partial and complete cds, strain: NBRC 13433
GCF62	BGC0000332	Microcystis sp. NIVA-CYA 172/5	NRPS	NRPS	Microcystis sp. NIVA-CYA 172/5 cyanopeptolin synthetase gene cluster, complete sequence
GCF102	BGC0000486	Butyrivibrio fibrisolvens	RiPP	RiPP-like	Butyrivibrio fibrisolvens response regulator-like protein and histidine kinase-like protein genes, complete cds; butyrivibriocin AR10 operon, complete sequence; and unknown gene
GCF111	X00001_1.region007	Paenibacillus sp Unclassified.	PKS	T3PKS	Paenibacillus sp strain X00001
GCF54	BGC0001904	Micromonospora rosaria	PKS	T2PKS	Micromonospora rosaria strain SCSIO N160 coA-transferase III family protein and hypothetical protein genes, complete cds; fluostatin biosynthesis gene cluster, complete sequence; and hypothetical protein and 3-phosphoshikimate 1-carboxyvinyltransferase genes, complete cds
GCF49	BGC0001886	Claviceps purpurea 20.1	PKS	T1PKS	Claviceps purpurea 20.1 WGS project CAGA00000000 data, contig scaffold00034, whole genome shotgun sequence
GCF117	BGC0001625	Streptomyces sp. CB01883	PKS	T2PKS	Streptomyces sp. CB01883 isofuranonaphthoquinone biosynthetic gene cluster, complete sequence
GCF118	BGC0001685	Raoultella ornithinolytica 10-5246	NA	unknown	Raoultella ornithinolytica 10-5246 cont1.17, whole genome shotgun sequence
GCF91	BGC0002384	Lysobacter sp.	NRPS	NRPS	Lysobacter sp. strain 3655 lysocin gene cluster, complete sequence
GCF125	BGC0000881	Streptomyces ahygroscopicus subsp. wuzhouensis	other	deazapurine	Streptomyces ahygroscopicus subsp. wuzhouensis strain S91 toyocamycin biosynthetic gene cluster, complete sequence
GCF23	BGC0000984	Delftia acidovorans SPH-1	NRPS.PKS	NRP-metallophore.NRPS.T1PKS	Delftia acidovorans SPH-1, complete genome
GCF130	BGC0002074	Streptomyces huasconensis	RiPP	lassopeptide	Streptomyces huasconensis strain HST28 huascopeptin biosynthetic gene cluster, complete sequence
GCF47	BGC0000107	Aspergillus nidulans FGSC A4	PKS	T1PKS	TPA_asm: Aspergillus nidulans FGSC A4 chromosome II
GCF81	BGC0002043	Myxococcus xanthus DK 1622	NA	unknown	Myxococcus xanthus DK 1622 cittilin biosynthetic gene cluster, complete sequence
GCF162	BGC0001690	Streptomyces gilvosporeus	PKS	T1PKS	Streptomyces gilvosporeus strain Ins1 hypothetical protein gene, complete cds; natamycin biosynthetic gene cluster, complete sequence; and hypothetical protein gene, complete cds
GCF177	BGC0002561	Streptomyces sp.	PKS.other	T3PKS.phenazine	Streptomyces sp. strain NA04227 arabinose ABC transporter permease, hypothetical protein, and RNA polymerase subunit sigma genes, complete cds; spz gene cluster, complete sequence; and YdcF family protein and N-acetyltransferase genes, complete cds
GCF41	BGC0002391	Zea mays	NA	unknown	Zea mays cultivar B73 chromosome 1, Zm-B73-REFERENCE-NAM-5.0, whole genome shotgun sequence
GCF28	X00011_2.region013	Paenibacillus sp Unclassified.	NRPS.PKS	NRPS.PKS-like.T3PKS.transAT-PKS	Paenibacillus sp strain X00011
GCF109	BGC0001411	Bacteroides fragilis NCTC 9343	other	phosphonate	Bacteroides fragilis NCTC 9343 PS B capsular polysaccharide biosynthesis locus, complete sequence
GCF196	BGC0001173	Bacillus pumilus ATCC 7061	RiPP	azole-containing-RiPP	Bacillus pumilus ATCC 7061 BAT.Contig118, whole genome shotgun sequence
GCF44	BGC0001181	Streptomyces coelicolor A3(2)	terpene	terpene	Streptomyces coelicolor A3(2) complete genome
GCF198	BGC0000475	Prochloron didemni	RiPP	azole-containing-RiPP.cyanobactin	Prochloron didemni subtilisin-like protein (patA), PatB (patB), PatC (patC), adenylation/heterocyclization protein (patD), patellamide precursor protein (patE), PatF (patF), thiazoline oxidase/subtilisin-like protease (patG), and deoxyribopyrimidine photolyase genes, complete cds
GCF103	BGC0002319	Streptomyces sp.	RiPP	linaridin	Streptomyces sp. strain GSL-6C salinipeptin gene cluster, complete sequence
GCF142	BGC0000132	Streptomyces sp. UC 11065	PKS	T1PKS	Streptomyces sp. UC 11065 pyrrolomycin biosynthetic gene cluster, partial sequence
GCF26	BGC0002422	Pseudomonas thivervalensis	NRPS	NRP-metallophore.NRPS	Pseudomonas thivervalensis strain BS3779 genome assembly, chromosome: I
GCF202	X00008_2.region009	Paenibacillus sp Unclassified.	PKS	T3PKS	Paenibacillus sp strain X00008
GCF204	BGC0002626	Nostoc sp. TH1S01	RiPP	microviridin	MAG: Nostoc sp. TH1S01 contig-206-p2, whole genome shotgun sequence
GCF39	BGC0001831	Myxococcus xanthus DK 1622	PKS	T3PKS	Myxococcus xanthus DK 1622, complete genome
GCF120	BGC0003002	Actinoplanes sp. NAI112	RiPP	lanthipeptide-class-iii	Actinoplanes sp. NAI112 LantT (lanT), LabP (labP), LantT (lanT), ABC transporter permease, LabKC (labKC), LabA (labA), and Gtf (gtf) genes, complete cds
GCF49	BGC0002603	Aspergillus versicolor	PKS.terpene	T1PKS.terpene	Aspergillus versicolor 0312 biosynthetic gene cluster of chevalone E and its oxidized derivatives, complete sequence
GCF112	BGC0001078	Streptomyces sp. KO-3988	PKS.other.terpene	T3PKS.other.terpene-precursor	Streptomyces sp. KO-3988 furaquinocin A biosynthetic gene cluster, complete cds
GCF101	BGC0001425	Myxococcus xanthus DK 1622	NRPS.PKS	NRPS.T1PKS	Myxococcus xanthus DK 1622 myxochromide A biosynthetic gene cluster, complete sequence
GCF186	X00003_1.region021	Paenibacillus sp Unclassified.	NRPS.PKS	NRPS.PKS-like.T3PKS.transAT-PKS	Paenibacillus sp strain X00003
GCF18	BGC0000439	Saccharomonospora piscinae	NRPS.other	NRPS.polyhalogenated-pyrrole	Saccharomonospora sp. CNQ490 putative sugar kinase and gluconolaconase genes, complete cds; taromycin gene cluster, complete sequence; and O-methyltransferase, methoxymalonate biosynthesis protein, acyl-CoA dehydrogenase, acyl carrier protein, 3-hydroxyacyl-CoA dehydrogenase, hypothetical protein, and enoyl-CoA hydratase genes, complete cds
GCF163	BGC0001452	Streptomyces sp. CS149	PKS.saccharide	T1PKS.oligosaccharide	Streptomyces sp. CS149 genomic DNA containing Sipanmycin biosynthesis gene cluster region
GCF216	BGC0001471	Amycolatopsis saalfeldensis	RiPP	azole-containing-RiPP.thioamitides	Amycolatopsis saalfeldensis strain DSM 44993, whole genome shotgun sequence
GCF10	X00003_1.region007	Paenibacillus sp Unclassified.	NRPS	NRPS	Paenibacillus sp strain X00003
GCF54	BGC0002000	Streptomyces aurantiacus JA 4570	PKS	T2PKS	Streptomyces aurantiacus JA 4570 Seq74, whole genome shotgun sequence
GCF153	BGC0002423	Burkholderia gladioli	NA	unknown	Burkholderia gladioli strain GSRB05 NODE_62_length_43215_cov_8.435899, whole genome shotgun sequence
GCF84	BGC0002974	Paraliomyxa miuraensis	NRPS.PKS	NRPS.T1PKS	Paraliomyxa miuraensis strain SMH-27-4 scf140c30, whole genome shotgun sequence
GCF143	BGC0002206	Trichoderma guizhouense	PKS	T1PKS	Trichoderma guizhouense strain NJAU 4742 T37_S00017, whole genome shotgun sequence
GCF88	BGC0001440	Kitasatospora cystarginea	other	betalactone	Kitasatospora cystarginea strain JCM 7356 alpha/beta hydrolase gene, complete cds; cys gene cluster, complete sequence; and 3-oxoacyl-ACP synthase gene, complete cds
GCF2	BGC0000886	Streptomyces tsukubensis	NA	unknown	Streptomyces tsukubaensis strain NRLL18488 allylmalonyl-CoA biosynthesis gene cluster, complete sequence; and FkbG (fkbG) gene, complete cds
GCF220	BGC0002054	Streptomyces novoguineensis	NRPS.PKS	NRPS-like.T1PKS	Streptomyces novoguineensis strain T-36496 amipurimycin biosynthetic gene cluster, complete sequence
GCF221	BGC0001780	Herpetosiphon sp. B060	NRPS.PKS	NRPS.transAT-PKS	Herpetosiphon sp. B060 siphonazole biosynthetic gene cluster, complete sequence
GCF51	BGC0002643	Aetokthonos hydrillicola Thurmond2011	NA	unknown	Aetokthonos hydrillicola Thurmond2011 AETX gene cluster, complete sequence
GCF48	BGC0002602	Aspergillus flavus	NRPS	NRPS-like	Aspergillus flavus culture SRRC:0537 aspergillic acid gene cluster, complete sequence
GCF159	BGC0001724	Penicillium oxalicum 114-2	NRPS.PKS	NRPS.T1PKS	Penicillium oxalicum 114-2 unplaced genomic scaffold scaffold_4, whole genome shotgun sequence
GCF159	BGC0003028	Penicillium crustosum	NRPS.PKS	NRPS.T1PKS	Penicillium crustosum strain PRB-2 terrestric acid gene cluster, complete sequence
GCF89	BGC0002258	Aspergillus stellatus	PKS	T1PKS	Aspergillus stellatus GF10 DNA, shimalactone biosynthetic gene cluster
GCF154	BGC0002970	Penicillium crustosum	PKS	T1PKS	Penicillium crustosum strain PRB-2 xylariolide D gene cluster, complete sequence
GCF3	BGC0001132	Xenorhabdus nematophila ATCC 19061	NRPS	NRPS	Xenorhabdus nematophila ATCC 19061 chromosome, complete genome
GCF6	BGC0000296	Streptomyces anulatus	NRPS	NRPS	Streptomyces anulatus actinomycin biosynthetic gene cluster, partial sequence
GCF237	BGC0001789	Streptococcus suis	RiPP	lanthipeptide-class-i	Streptococcus suis strain 90-1330 lantibiotic gene cluster, complete sequence
GCF63	BGC0000403	Paenibacillus elgii	NRPS	NRPS	Paenibacillus elgii strain B69 pelgipeptin biosynthetic gene cluster, complete sequence
GCF10	BGC0001261	Alternaria alternata	NRPS	NRPS	Alternaria alternata AM-toxin synthetase (AMT) gene, complete cds
GCF164	BGC0000001	Micromonospora maris AB-18-032	PKS	T1PKS	Verrucosispora maris AB-18-032 protein methyltransferase (orfP), putative hydrolase, pathway-specific SARP activator (abyR), cytochrome P450 (abyX), LuxR family transcriptional regulator (abyH), pathway-specific SARP activator (abyI), YD repeat protein (abyK), 3-oxoacyl-ACP synthase III (abyA1), phosphatase and glyceryl transferase (abyA2), acyl-carrier protein (abyA3), pyruvate/2-oxoglutarate dehydrogenase (abyA4), AbyA5 (abyA5), type 1 polyketide synthase (abyB1), type 1 polyketide synthase (abyB2), type 1 polyketide synthase (abyB3), TetR regulatory protein (abyC), EmrB/QacA drug resistance transporter (abyD), luciferase/monooxygenase (abyE), BC transporter oligopeptide binding protein (abyF1), ABC transporter oligopeptide permease (abyF2), binding-protein dependent ABC transporter (abyF3), ATP-binding ABC peptide transporter (abyF4), cytochrome P450 (abyV), alcohol dehydrogenase (abyW), NAD(P)H-depedent FMN-reductase (abyZ), type II thioesterase (abyT), Zn-dependent alcohol dehydrogenase (orfU), and TetR transcriptional regulator (orfS) genes, complete cds
